MAP;ARG1;ARG2;ARG3;Vertices(n);Edges(m);BFS Calls(I);Augment Calls;Max Flow;Elapsed Time(s);#BFS Operations;AVG BFS Operations;Std Dev BFS Operations;C;r;s;t;uI
3;16;2;10000;34;80;49;48;256043;0.00046211;900;18.3673;0.482082;0.6;0.0352941;0.540216;0.00730425;0.00900735
3;16;4;100;66;176;70;69;1433;0.000981909;3231;46.1571;3.56024;0.403409;0.0122245;0.699351;0.00452806;0.00301309
3;16;4;1000;66;176;78;77;14982;0.000999828;3381;43.3462;5.62236;0.443182;0.0134298;0.65676;0.00406992;0.00335744
3;16;4;10000;66;176;78;77;176240;0.00100238;3382;43.359;4.94579;0.4375;0.0132576;0.656954;0.00401388;0.00335744
3;16;4;10000;66;176;78;77;176240;0.00100635;3382;43.359;4.94579;0.4375;0.0132576;0.656954;0.00401388;0.00335744
3;16;8;100;130;368;118;117;1053;0.00407887;12171;103.144;7.46322;0.334239;0.00514214;0.793416;0.00269709;0.00123328
3;16;8;1000;130;368;168;167;14051;0.00507692;17509;104.22;6.22249;0.456522;0.00702341;0.801694;0.00188708;0.00175585
3;16;8;10000;130;368;129;128;124888;0.00388588;13464;104.372;9.15251;0.347826;0.00535117;0.802862;0.00247571;0.00134824
3;16;8;10000;130;368;129;128;124888;0.00390867;13464;104.372;9.15251;0.347826;0.00535117;0.802862;0.00247571;0.00134824
3;16;16;100;258;752;226;225;1053;0.0147727;51104;226.124;11.3173;0.333777;0.00258742;0.876449;0.00140521;0.000582426
3;16;16;1000;258;752;280;279;12196;0.0189492;63253;225.904;4.4047;0.375;0.00290698;0.875595;0.00113868;0.00072159
3;16;16;10000;258;752;277;276;121559;0.0184661;63159;228.011;7.56225;0.368351;0.00285543;0.883763;0.00115946;0.000713859
3;16;16;10000;258;752;277;276;121559;0.0187896;63159;228.011;7.56225;0.368351;0.00285543;0.883763;0.00115946;0.000713859
3;16;32;100;514;1520;393;392;1053;0.0547976;187289;476.562;20.994;0.328289;0.00127739;0.927164;0.000821843;0.00025151
3;16;32;1000;514;1520;542;541;11866;0.0794236;258762;477.421;4.26348;0.368421;0.00143354;0.928834;0.000596113;0.000346867
3;16;32;10000;514;1520;563;562;113910;0.0767934;268517;476.94;5.00762;0.370395;0.00144122;0.927898;0.000573717;0.000360306
3;16;32;10000;514;1520;563;562;113910;0.0773631;268517;476.94;5.00762;0.370395;0.00144122;0.927898;0.000573717;0.000360306
3;16;64;100;1026;3056;648;647;1053;0.185241;627593;968.508;35.6397;0.335733;0.00065445;0.943965;0.000496382;0.000103334
3;16;64;1000;1026;3056;1014;1013;11074;0.291081;979792;966.264;5.47643;0.35144;0.000685068;0.941778;0.000316678;0.000161699
3;16;64;10000;1026;3056;1078;1077;113910;0.309139;1042262;966.848;17.3128;0.354385;0.000690809;0.942347;0.000297274;0.000171905
3;16;64;10000;1026;3056;1078;1077;113910;0.307495;1042262;966.848;17.3128;0.354385;0.000690809;0.942347;0.000297274;0.000171905
3;16;128;100;2050;6128;903;902;1053;0.53142;1760957;1950.12;62.9125;0.342689;0.000334331;0.951277;0.000355194;3.59406e-05
3;16;128;1000;2050;6128;1761;1760;9976;1.03448;3438235;1952.43;21.2983;0.317396;0.000309813;0.952406;0.000182226;7.00901e-05
3;16;128;10000;2050;6128;1985;1984;105401;1.17598;3876321;1952.81;4.03472;0.327023;0.000319047;0.952589;0.000161725;7.90056e-05
3;16;128;10000;2050;6128;1985;1984;105401;1.17032;3876321;1952.81;4.03472;0.327023;0.000319047;0.952589;0.000161725;7.90056e-05
3;32;2;100;66;160;90;89;4659;0.00126965;3213;35.7;1.78543;0.55625;0.0168561;0.540909;0.00384491;0.00426136
3;32;2;1000;66;160;95;94;41481;0.000936289;3311;34.8526;1.07575;0.5875;0.017803;0.52807;0.00360596;0.00449811
3;32;2;10000;66;160;91;90;452273;0.000992229;3231;35.5055;1.18018;0.5625;0.0170455;0.537962;0.00378049;0.00430871
3;32;2;10000;66;160;91;90;452273;0.000939949;3231;35.5055;1.18018;0.5625;0.0170455;0.537962;0.00378049;0.00430871
3;32;4;100;130;352;157;156;3011;0.00399751;13621;86.758;7.85165;0.451705;0.0069493;0.667369;0.00205902;0.00171547
3;32;4;1000;130;352;162;161;30545;0.00413106;14120;87.1605;9.1799;0.457386;0.00703671;0.670465;0.00197459;0.0017701
3;32;4;10000;130;352;169;168;321888;0.00445891;14940;88.4024;6.15511;0.477273;0.00734266;0.680018;0.00192908;0.00184659
3;32;4;10000;130;352;169;168;321888;0.00446688;14940;88.4024;6.15511;0.477273;0.00734266;0.680018;0.00192908;0.00184659
3;32;8;100;258;736;300;299;2818;0.0184798;62533;208.443;12.1073;0.430707;0.00333881;0.80792;0.00107201;0.000789939
3;32;8;1000;258;736;309;308;25591;0.0190419;64869;209.932;10.5508;0.419837;0.00325455;0.81369;0.00103546;0.000813638
3;32;8;10000;258;736;330;329;250330;0.0210116;68905;208.803;9.68789;0.445652;0.0034652;0.809314;0.000970451;0.000868933
3;32;8;10000;258;736;330;329;250330;0.0200526;68905;208.803;9.68789;0.445652;0.0034652;0.809314;0.000970451;0.000868933
3;32;16;100;514;1504;569;568;2605;0.0770197;257654;452.819;9.29296;0.424867;0.00166094;0.880971;0.000561496;0.00036802
3;32;16;1000;514;1504;660;659;25038;0.0913939;298269;451.923;11.3238;0.443484;0.00173079;0.879227;0.000482826;0.000426877
3;32;16;10000;514;1504;587;586;232430;0.0796242;266237;453.555;10.75;0.390957;0.00152124;0.882403;0.000545364;0.000379662
3;32;16;10000;514;1504;587;586;232430;0.0782098;266237;453.555;10.75;0.390957;0.00152124;0.882403;0.000545364;0.000379662
3;32;32;100;1026;3040;974;973;2547;0.266024;908096;932.337;14.1172;0.408553;0.00079704;0.90871;0.000325396;0.000156138
3;32;32;1000;1026;3040;1162;1161;23474;0.328023;1090929;938.837;14.8973;0.391447;0.000763697;0.915046;0.000274867;0.000186275
3;32;32;10000;1026;3040;1152;1151;228003;0.316378;1077768;935.562;14.2763;0.378947;0.00073933;0.911854;0.000275628;0.000184672
3;32;32;10000;1026;3040;1152;1151;228003;0.333287;1077768;935.562;14.2763;0.378947;0.00073933;0.911854;0.000275628;0.000184672
3;32;64;100;2050;6112;1424;1423;2332;0.810926;2738136;1922.85;13.2205;0.369437;0.000360427;0.937975;0.000224366;5.68254e-05
3;32;64;1000;2050;6112;2146;2145;21889;1.23045;4117378;1918.63;18.9962;0.369274;0.000360267;0.935917;0.000148597;8.56372e-05
3;32;64;10000;2050;6112;2146;2145;219925;1.22555;4126676;1922.96;9.20434;0.352749;0.000344145;0.93803;0.000148858;8.56372e-05
3;32;64;10000;2050;6112;2146;2145;219925;1.24017;4126676;1922.96;9.20434;0.352749;0.000344145;0.93803;0.000148858;8.56372e-05
3;32;128;100;4098;12256;2016;2015;2332;2.33701;7786842;3862.52;54.1441;0.375163;0.000183175;0.942538;0.00015748;2.00697e-05
3;32;128;1000;4098;12256;3907;3906;21616;4.59749;15097514;3864.22;26.0648;0.352725;0.000172185;0.942953;8.13242e-05;3.88949e-05
3;32;128;10000;4098;12256;4223;4222;219925;4.9;16324569;3865.63;35.7952;0.347585;0.000169636;0.943298;7.52322e-05;4.20407e-05
3;32;128;10000;4098;12256;4223;4222;219925;4.87012;16324569;3865.63;35.7952;0.347585;0.000169636;0.943298;7.52322e-05;4.20407e-05
3;64;2;100;130;320;187;186;9412;0.004878;12617;67.4706;1.99811;0.58125;0.00894231;0.519005;0.00179507;0.0022476
3;64;2;1000;130;320;188;187;90112;0.00352877;12800;68.0851;2.45018;0.584375;0.00899038;0.523732;0.00179504;0.00225962
3;64;2;10000;130;320;184;183;922618;0.00338557;12433;67.5707;2.29731;0.571875;0.00879808;0.519774;0.0018275;0.00221154
3;64;2;10000;130;320;184;183;922618;0.00341;12433;67.5707;2.29731;0.571875;0.00879808;0.519774;0.0018275;0.00221154
3;64;4;100;258;704;306;305;6069;0.015011;51070;166.895;12.9252;0.444602;0.00344653;0.646881;0.0010195;0.000842363
3;64;4;1000;258;704;298;297;53886;0.0144826;49088;164.725;16.4639;0.423295;0.00328136;0.638468;0.00102159;0.00082034
3;64;4;10000;258;704;315;314;601249;0.0167966;53205;168.905;13.2525;0.446023;0.00345754;0.65467;0.000992121;0.000867138
3;64;4;10000;258;704;315;314;601249;0.0156355;53205;168.905;13.2525;0.446023;0.00345754;0.65467;0.000992121;0.000867138
3;64;8;100;514;1472;586;585;5359;0.0702841;237517;405.319;27.968;0.425951;0.00166004;0.788559;0.000537571;0.000387255
3;64;8;1000;514;1472;604;603;50315;0.0732443;248638;411.652;22.5297;0.411685;0.00160189;0.80088;0.000525108;0.00039915
3;64;8;10000;514;1472;610;609;498626;0.0814558;250821;411.182;20.673;0.413723;0.00160982;0.799965;0.000514955;0.000403115
3;64;8;10000;514;1472;610;609;498626;0.0750633;250821;411.182;20.673;0.413723;0.00160982;0.799965;0.000514955;0.000403115
3;64;16;100;1026;3008;1179;1178;5268;0.314665;1057397;896.859;18.8353;0.447141;0.000873564;0.874132;0.0002694;0.000191011
3;64;16;1000;1026;3008;1214;1213;48201;0.325451;1085188;893.895;22.4729;0.407912;0.000795799;0.871242;0.000262046;0.000196681
3;64;16;10000;1026;3008;1158;1157;452053;0.31312;1041389;899.3;18.9855;0.384309;0.000751084;0.87651;0.000276125;0.000187609
3;64;16;10000;1026;3008;1158;1157;452053;0.315116;1041389;899.3;18.9855;0.384309;0.000751084;0.87651;0.000276125;0.000187609
3;64;32;100;2050;6080;1855;1854;4865;1.04713;3453133;1861.53;17.0257;0.394243;0.000384788;0.908062;0.000169944;7.44143e-05
3;64;32;1000;2050;6080;2350;2349;46266;1.32322;4369825;1859.5;19.6881;0.396053;0.000387356;0.907073;0.000133859;9.42715e-05
3;64;32;10000;2050;6080;2256;2255;452053;1.26506;4205836;1864.29;33.0988;0.372204;0.000363286;0.909409;0.000140044;9.05006e-05
3;64;32;10000;2050;6080;2256;2255;452053;1.26589;4205836;1864.29;33.0988;0.372204;0.000363286;0.909409;0.000140044;9.05006e-05
3;64;64;100;4098;12224;3038;3037;4815;3.48018;11469784;3775.44;36.876;0.405923;0.000198347;0.921288;0.000103201;3.0323e-05
3;64;64;1000;4098;12224;4420;4419;44751;5.09858;16695531;3777.27;32.0741;0.379009;0.000185132;0.921735;7.09879e-05;4.41171e-05
3;64;64;10000;4098;12224;4458;4457;452053;5.1184;16848829;3779.46;51.0688;0.366738;0.000179064;0.922269;7.0374e-05;4.44964e-05
3;64;64;10000;4098;12224;4458;4457;452053;5.09615;16848829;3779.46;51.0688;0.366738;0.000179064;0.922269;7.0374e-05;4.44964e-05
3;64;128;100;8194;24512;4001;4000;4653;9.33444;30529516;7630.47;62.9557;0.386423;9.43982e-05;0.931227;7.84489e-05;9.9601e-06
3;64;128;1000;8194;24512;8280;8279;44751;19.2067;63204867;7633.44;64.9477;0.37447;9.15005e-05;0.931589;3.78961e-05;2.06123e-05
3;64;128;10000;8194;24512;8296;8295;423811;19.108;63283512;7628.2;44.312;0.341139;8.32755e-05;0.930949;3.78088e-05;2.06521e-05
3;64;128;10000;8194;24512;8296;8295;423811;19.1089;63283512;7628.2;44.312;0.341139;8.32755e-05;0.930949;3.78088e-05;2.06521e-05
3;128;2;100;258;640;378;377;18453;0.0142315;49889;131.981;2.91995;0.589063;0.00456638;0.511556;0.000899397;0.00114462
3;128;2;1000;258;640;376;375;182627;0.0133688;49365;131.29;2.30714;0.585938;0.00454215;0.508876;0.000904392;0.00113857
3;128;2;10000;258;640;373;372;1890127;0.0134419;49664;133.147;4.11721;0.58125;0.00450581;0.516075;0.000915888;0.00112948
3;128;2;10000;258;640;373;372;1890127;0.0134152;49664;133.147;4.11721;0.58125;0.00450581;0.516075;0.000915888;0.00112948
3;128;4;100;514;1408;644;643;12617;0.0643811;217601;337.89;29.7534;0.465909;0.00181288;0.657373;0.000483644;0.000444928
3;128;4;1000;514;1408;652;651;121848;0.0658834;219725;337.002;30.9926;0.463068;0.00180182;0.655645;0.000480893;0.000450455
3;128;4;10000;514;1408;635;634;1190171;0.0623361;211343;332.824;32.8304;0.450284;0.00175208;0.647517;0.000484598;0.00043871
3;128;4;10000;514;1408;635;634;1190171;0.0625151;211343;332.824;32.8304;0.450284;0.00175208;0.647517;0.000484598;0.00043871
3;128;8;100;1026;2944;1165;1164;10147;0.285044;942722;809.203;49.425;0.415421;0.00081045;0.788697;0.000268948;0.000192846
3;128;8;1000;1026;2944;1360;1359;105570;0.342623;1095919;805.823;54.5451;0.464334;0.000905135;0.785402;0.000228988;0.000225125
3;128;8;10000;1026;2944;1264;1263;1029316;0.301589;1011852;800.516;56.855;0.429008;0.000836935;0.78023;0.000246403;0.000209234
3;128;8;10000;1026;2944;1264;1263;1029316;0.315184;1011852;800.516;56.855;0.429008;0.000836935;0.78023;0.000246403;0.000209234
3;128;16;100;2050;6016;2343;2342;10145;1.2706;4149445;1771;48.5516;0.454455;0.000444668;0.863901;0.000133706;9.49906e-05
3;128;16;1000;2050;6016;2699;2698;100643;1.45113;4786448;1773.42;43.6838;0.455785;0.000445479;0.865081;0.000115983;0.000109424
3;128;16;10000;2050;6016;2729;2728;1029316;1.50972;4866377;1783.21;38.2334;0.453125;0.00044256;0.869858;0.000114987;0.00011064
3;128;16;10000;2050;6016;2729;2728;1029316;1.49816;4866377;1783.21;38.2334;0.453125;0.00044256;0.869858;0.000114987;0.00011064
3;128;32;100;4098;12160;3951;3950;9761;4.46533;14703417;3721.44;42.1703;0.422039;0.000206214;0.908112;7.98312e-05;3.96435e-05
3;128;32;1000;4098;12160;4789;4788;94166;5.41041;17798686;3716.58;49.8321;0.404687;0.000197625;0.906925;6.57951e-05;4.80518e-05
3;128;32;10000;4098;12160;5034;5033;975626;5.6451;18669107;3708.6;54.7433;0.414227;0.000202321;0.904979;6.24403e-05;5.051e-05
3;128;32;10000;4098;12160;5034;5033;975626;5.66987;18669107;3708.6;54.7433;0.414227;0.000202321;0.904979;6.24403e-05;5.051e-05
3;128;64;100;8194;24448;6301;6300;9761;14.3827;47861770;7595.9;76.1751;0.426415;0.00010425;0.927008;5.00471e-05;1.57268e-05
3;128;64;1000;8194;24448;9532;9531;93992;21.8029;72526738;7608.76;43.391;0.41034;0.000100256;0.928577;3.31276e-05;2.37911e-05
3;128;64;10000;8194;24448;10360;10359;968882;23.9602;78742364;7600.61;45.4157;0.42527;0.00010401;0.927583;3.04651e-05;2.58577e-05
3;128;64;10000;8194;24448;10360;10359;968882;23.9598;78742364;7600.61;45.4157;0.42527;0.00010401;0.927583;3.04651e-05;2.58577e-05
3;128;128;100;16386;49024;8097;8096;9327;38.049;124396621;15363.3;52.3341;0.393746;4.80713e-05;0.937587;3.89799e-05;5.03979e-06
3;128;128;1000;16386;49024;17860;17859;93992;86.6787;274211294;15353.4;90.3127;0.407025;4.97195e-05;0.936981;1.76623e-05;1.11165e-05
3;128;128;10000;16386;49024;19523;19522;940023;92.4346;299857632;15359.2;55.5035;0.402048;4.91145e-05;0.937337;1.61676e-05;1.21516e-05
3;128;128;10000;16386;49024;19523;19522;940023;91.1584;299857632;15359.2;55.5035;0.402048;4.91145e-05;0.937337;1.61676e-05;1.21516e-05
