MAP;ARG1;ARG2;Max Capacity;Vertices(n);Edges(m);BFS Calls(I);Augment Calls;Max Flow;Elapsed Time(s);#BFS Operations;AVG BFS Operations;Std Dev BFS Operations;C;r;s;t;uI
1;32;4;1000;130;352;193;192;37237;0.00443017;19783;102.503;18.1417;0.545455;0.00839161;0.626624;0.00150881;1
1;32;4;10000;130;352;178;177;369214;0.00574257;18259;102.579;19.1563;0.502841;0.00773601;0.636041;0.00163717;1
1;32;4;100000;130;352;187;186;3582433;0.00455707;20016;107.037;16.2327;0.528409;0.00812937;0.670053;0.00162612;1
1;32;8;100;258;736;344;343;3039;0.0196864;77896;226.442;28.2608;0.48913;0.00379171;0.774292;0.000894377;0.952778
1;32;8;1000;258;736;382;381;32878;0.0218236;81749;214.003;37.3312;0.524457;0.00406555;0.736515;0.000761163;0.987047
1;32;8;10000;258;736;358;357;319974;0.0205258;81317;227.142;20.6351;0.485054;0.00376011;0.789453;0.00086206;1
1;32;8;100000;258;736;357;356;2774250;0.0231513;81599;228.569;25.1339;0.483696;0.00374958;0.790209;0.000869903;1
1;32;16;100;514;1504;649;648;3039;0.0843818;307388;473.633;51.8136;0.474734;0.00184721;0.861025;0.000485232;0.907563
1;32;16;1000;514;1504;655;654;27805;0.10973;312921;477.742;41.9618;0.442819;0.00172303;0.866665;0.000484958;0.981982
1;32;16;10000;514;1504;707;706;291347;0.100156;338238;478.413;48.8108;0.46875;0.00182652;0.877603;0.00044992;1
1;32;16;100000;514;1504;669;668;2739689;0.0862639;327298;489.235;43.9824;0.444149;0.00172821;0.883981;0.000486232;1
1;32;32;100;1026;3040;1218;1217;3039;0.34621;1213226;996.08;49.4041;0.499671;0.000974018;0.94199;0.000269013;0.801185
1;32;32;1000;1026;3040;1287;1286;27082;0.361541;1284449;998.018;39.7523;0.436842;0.000851544;0.944787;0.000255086;0.968373
1;32;32;10000;1026;3040;1401;1400;286924;0.395702;1403735;1001.95;47.6621;0.461842;0.000900918;0.946058;0.000235253;0.996441
1;32;32;100000;1026;3040;1348;1347;2739689;0.40452;1365306;1012.84;36.5126;0.443092;0.000863727;0.957615;0.000247159;1
1;32;64;100;2050;6112;1900;1899;3039;1.11679;3864520;2033.96;50.6675;0.500491;0.000488443;0.977765;0.000175148;0.620588
1;32;64;1000;2050;6112;2524;2523;27082;1.48942;5148680;2039.89;29.5841;0.432428;0.000421881;0.98009;0.000132231;0.954597
1;32;64;10000;2050;6112;2823;2822;286924;1.63247;5742767;2034.28;41.8847;0.464332;0.000453327;0.978463;0.000117901;0.993662
1;32;64;100000;2050;6112;2730;2729;2739689;1.57005;5551398;2033.48;42.9739;0.447153;0.000436247;0.977721;0.000121869;0.998536
1;32;128;100;4098;12256;2380;2379;2772;2.80315;9721636;4084.72;35.5724;0.435787;0.000212762;0.989238;0.000140035;0.445255
1;32;128;1000;4098;12256;4945;4944;27082;5.84302;20195291;4083.98;53.5635;0.445659;0.0002177;0.989266;6.73859e-05;0.904335
1;32;128;10000;4098;12256;5628;5627;282746;6.65999;22944325;4076.82;32.6162;0.463773;0.000226421;0.987796;5.91042e-05;0.989624
1;32;128;100000;4098;12256;5523;5522;2739689;6.53468;22527247;4078.81;59.5321;0.450636;0.000220129;0.988246;6.02572e-05;0.998915
1;64;2;100;130;320;193;192;9869;0.00337296;19034;98.6218;18.5656;0.6;0.00923077;0.507652;0.00159685;1
1;64;2;1000;130;320;193;192;95569;0.00341092;19034;98.6218;18.5656;0.6;0.00923077;0.507652;0.00159685;1
1;64;2;10000;130;320;193;192;967569;0.00342287;19034;98.6218;18.5656;0.6;0.00923077;0.507652;0.00159685;1
1;64;2;100000;130;320;193;192;9957569;0.00340599;19034;98.6218;18.5656;0.6;0.00923077;0.507652;0.00159685;1
1;64;4;100;258;704;371;370;7036;0.0165632;73666;198.561;36.4937;0.534091;0.00414024;0.629307;0.000760233;0.984043
1;64;4;1000;258;704;397;396;74068;0.0191649;81288;204.756;33.6636;0.56392;0.00437148;0.645774;0.00073261;0.997481
1;64;4;10000;258;704;382;381;749736;0.0181579;78936;206.639;31.2945;0.541193;0.0041953;0.657494;0.000768379;1
1;64;4;100000;258;704;367;366;6416092;0.0177094;77145;210.204;33.2519;0.519886;0.00403013;0.665896;0.000813585;1
1;64;8;100;514;1472;669;668;6185;0.0741321;291651;435.951;59.7684;0.478261;0.00186094;0.754625;0.000442694;0.948864
1;64;8;1000;514;1472;761;760;64283;0.0849255;331109;435.097;59.7135;0.518342;0.0020169;0.744533;0.000388413;0.996068
1;64;8;10000;514;1472;729;728;624290;0.0839081;324658;445.347;51.589;0.494565;0.00192438;0.774591;0.000415014;1
1;64;8;100000;514;1472;695;694;5716880;0.0773498;301507;433.823;68.4399;0.471467;0.0018345;0.745402;0.000424053;1
1;64;16;100;1026;3008;1342;1341;6150;0.327432;1219939;909.045;110.816;0.502327;0.000979195;0.829764;0.000225193;0.887492
1;64;16;1000;1026;3008;1477;1476;60376;0.436636;1415780;958.551;55.6152;0.494016;0.000962994;0.88382;0.000215753;0.993271
1;64;16;10000;1026;3008;1484;1483;598803;0.389577;1398278;942.236;76.4742;0.493351;0.000961698;0.860618;0.00021108;0.999326
1;64;16;100000;1026;3008;1371;1370;5628431;0.351252;1244156;907.481;156.778;0.455452;0.000887821;0.82752;0.00022005;1
1;64;32;100;2050;6080;2365;2364;6150;1.3497;4674269;1976.44;106.579;0.497204;0.000485077;0.932725;0.000137451;0.782005
1;64;32;1000;2050;6080;2866;2865;58248;1.61941;5643642;1969.17;104.601;0.482566;0.000470956;0.929119;0.000113007;0.97615
1;64;32;10000;2050;6080;3073;3072;594109;1.73665;6093310;1982.85;86.5426;0.505921;0.000494063;0.936381;0.000106127;0.997727
1;64;32;100000;2050;6080;2825;2824;5628431;1.66828;5583561;1976.48;82.869;0.464309;0.000453306;0.938125;0.000115072;0.999646
1;64;64;100;4098;12224;3724;3723;5893;4.47405;15075215;4048.12;86.1198;0.481512;0.000234998;0.972994;8.89264e-05;0.632518
1;64;64;1000;4098;12224;5504;5503;55839;6.54356;22167655;4027.55;130.682;0.473249;0.000231285;0.968183;5.98618e-05;0.94994
1;64;64;10000;4098;12224;5328;5327;545781;6.38238;21614470;4056.77;63.9057;0.437255;0.000213519;0.97535;6.22878e-05;0.996073
1;64;64;100000;4098;12224;5766;5765;5607746;6.89343;23352394;4050.02;97.3984;0.471613;0.000230287;0.97317;5.74604e-05;0.99948
1;64;128;100;8194;24512;5100;5099;5893;12.2418;41511632;8139.54;123.909;0.489883;0.000119661;0.986149;6.51105e-05;0.424316
1;64;128;1000;8194;24512;10313;10312;55839;24.6465;83974469;8142.58;123.8;0.465976;0.000113845;0.986286;3.22106e-05;0.90195
1;64;128;10000;8194;24512;10664;10663;545781;25.953;86851089;8144.33;121.617;0.439132;0.000107224;0.986485;3.1157e-05;0.990249
1;64;128;100000;8194;24512;11468;11467;5588417;27.8159;93045251;8113.47;170.372;0.467608;0.000114323;0.983017;2.88629e-05;0.998781
1;128;2;100;258;640;385;384;19519;0.014199;74938;194.644;37.0431;0.6;0.00465116;0.503866;0.000789952;1
1;128;2;1000;258;640;385;384;198419;0.0136555;74938;194.644;37.0431;0.6;0.00465116;0.503866;0.000789952;1
1;128;2;10000;258;640;385;384;2045419;0.0131412;74938;194.644;37.0431;0.6;0.00465116;0.503866;0.000789952;1
1;128;2;100000;258;640;385;384;19065419;0.0140291;74938;194.644;37.0431;0.6;0.00465116;0.503866;0.000789952;1
1;128;4;100;514;1408;731;730;14439;0.0652122;286945;392.538;72.9823;0.53125;0.00206712;0.628477;0.000381383;0.975936
1;128;4;1000;514;1408;750;749;142003;0.0691754;299900;399.867;69.8524;0.53267;0.00207265;0.635855;0.000378662;0.998667
1;128;4;10000;514;1408;747;746;1450897;0.0718308;306609;410.454;67.0568;0.53054;0.00206436;0.663372;0.000390248;0.998661
1;128;4;100000;514;1408;734;733;13567755;0.0682894;294895;401.764;72.4793;0.520597;0.00202567;0.639466;0.000388752;1
1;128;8;100;1026;2944;1462;1461;13210;0.310929;1171162;801.068;145.572;0.522079;0.0010177;0.694681;0.000186116;0.950553
1;128;8;1000;1026;2944;1477;1476;128523;0.327263;1231975;834.106;125.647;0.505435;0.000985253;0.727385;0.000191824;0.991935
1;128;8;10000;1026;2944;1443;1442;1236275;0.303523;1162411;805.552;137.34;0.490149;0.000955457;0.706206;0.000189622;0.999307
1;128;8;100000;1026;2944;1460;1459;12282912;0.300956;1199669;821.691;129.102;0.495584;0.000966051;0.709662;0.000191169;1
1;128;16;100;2050;6016;2707;2706;12612;1.41535;4966403;1834.65;155.222;0.506483;0.000494129;0.841762;0.000112657;0.888087
1;128;16;1000;2050;6016;2928;2927;121936;1.43947;5190387;1772.67;193.76;0.494182;0.000482129;0.809466;0.000100635;0.984527
1;128;16;10000;2050;6016;2936;2935;1194565;1.38787;5045671;1718.55;225.023;0.488032;0.000476129;0.782878;9.72969e-05;0.999659
1;128;16;100000;2050;6016;2900;2899;11627746;1.45347;5184895;1787.89;191.476;0.481882;0.000470128;0.818294;0.000102479;1
1;128;32;100;4098;12160;4697;4696;11973;5.22939;18182440;3871.08;211.102;0.490872;0.000239687;0.91673;6.77762e-05;0.786336
1;128;32;1000;4098;12160;5472;5471;112917;5.96019;20800368;3801.24;214.319;0.461184;0.000225078;0.900756;5.71275e-05;0.975571
1;128;32;10000;4098;12160;6010;6009;1169293;6.7809;23372704;3888.97;184.958;0.49523;0.000241734;0.920025;5.32141e-05;0.997676
1;128;32;100000;4098;12160;5589;5588;11137753;6.07855;21086857;3772.92;289.166;0.459622;0.000224315;0.890351;5.5515e-05;0.999821
1;128;64;100;8194;24448;7487;7486;11789;17.3888;59691405;7972.67;276.63;0.48957;0.000119585;0.957383;4.35565e-05;0.624979
1;128;64;1000;8194;24448;10598;10597;110873;24.4896;84303663;7954.68;249.108;0.456929;0.000111538;0.954927;3.07012e-05;0.948532
1;128;64;10000;8194;24448;11525;11524;1149654;26.6933;91196501;7912.93;310.781;0.473372;0.000115601;0.95137;2.80836e-05;0.99525
1;128;64;100000;8194;24448;11090;11089;11137753;25.6332;88281362;7960.45;282.663;0.453698;0.000110739;0.956751;2.93604e-05;0.99973
1;128;128;100;16386;49024;10201;10200;11779;49.5221;165434735;16217.5;356.689;0.493534;6.03505e-05;0.982242;3.24289e-05;0.420792
1;128;128;1000;16386;49024;20158;20157;110873;100.2;327703340;16256.7;333.748;0.455389;5.56026e-05;0.984835;1.64504e-05;0.902566
1;128;128;10000;16386;49024;22563;22562;1118221;107.669;365163738;16184.2;416.138;0.465201;5.68101e-05;0.980633;1.46314e-05;0.988781
1;128;128;100000;16386;49024;22425;22424;11137753;106.935;364726785;16264.3;216.984;0.457735;5.58939e-05;0.98518;1.47943e-05;0.998842
